#Classification,HK1-1,HK1-2,HK1-3,HK1-4,HK1-5,HK2-1,HK2-2,HK2-3,HK2-4,HK2-5,HK3-1,HK3-2,HK3-3,HK3-4,HK3-5
d__Bacteria|p__Aquificota|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_albus,2.0477E-06,2.58508E-06,1.44723E-06,1.42463E-06,0,0,0,2.13686E-06,0,0,0,2.21552E-06,0,1.32212E-06,1.60368E-06
d__Bacteria|p__Aquificota|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_ruber,4.0954E-06,3.55448E-06,3.47335E-06,3.13418E-06,5.00277E-06,2.96039E-06,0,2.84914E-06,3.8835E-06,2.95067E-06,3.81967E-06,6.09268E-06,3.91482E-06,1.05769E-06,6.68201E-06
d__Bacteria|p__Aquificota|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_minervae,5.80181E-06,4.52389E-06,6.65725E-06,3.98896E-06,4.50249E-06,4.86349E-06,4.8834E-06,4.74857E-06,1.2945E-06,2.58183E-06,5.34754E-06,1.16315E-05,3.91482E-06,4.23078E-06,4.27649E-06
d__Bacteria|p__Aquificota|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex|s__Aquifex_aeolicus,1.77467E-05,1.48642E-05,1.30251E-05,7.69299E-06,1.95108E-05,1.01499E-05,1.46502E-05,7.83515E-06,1.94175E-06,1.21715E-05,2.25361E-05,2.27091E-05,2.34889E-05,1.34856E-05,1.60368E-05
d__Bacteria|f__Candidatus_Chazhemtobacteraceae|g__Candidatus_Chazhemtobacterium|s__Candidatus_Chazhemtobacterium_aquaticus,2.0477E-06,1.61567E-06,1.15778E-06,1.42463E-06,1.00055E-06,1.48019E-06,2.4417E-06,2.13686E-06,2.589E-06,2.95067E-06,0,2.21552E-06,0,1.85097E-06,1.3364E-06
d__Bacteria|p__Candidatus_Absconditabacteria|o__Candidatus_Absconditabacterales|f__Candidatus_Absconditicoccaceae|g__Candidatus_Absconditicoccus|s__Candidatus_Absconditicoccus_praedator,4.43668E-06,1.29254E-06,2.02612E-06,1.1397E-06,3.2518E-06,8.45825E-07,3.2556E-06,2.61172E-06,0,1.47533E-06,0,2.7694E-06,3.35556E-06,1.85097E-06,1.3364E-06
d__Bacteria|p__Candidatus_Fervidibacteria|g__Candidatus_Fervidibacter|s__Candidatus_Fervidibacter_sacchari,6.1431E-06,4.20075E-06,4.34169E-06,3.70403E-06,3.50194E-06,1.26874E-06,1.6278E-06,4.51115E-06,2.91263E-06,7.00784E-06,4.96558E-06,2.7694E-06,2.7963E-06,2.90866E-06,4.54377E-06
d__Bacteria|p__Candidatus_Bipolaricaulota|g__Candidatus_Bipolaricaulis|s__Candidatus_Bipolaricaulis_anaerobius,1.19449E-05,4.84702E-06,6.07836E-06,3.70403E-06,3.00166E-06,3.17184E-06,3.66255E-06,7.59772E-06,6.79613E-06,6.27017E-06,6.49344E-06,3.87716E-06,7.82965E-06,3.17308E-06,2.6728E-06
d__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae|g__Candidatus_Babela|s__Candidatus_Babela_massiliensis,3.75412E-06,6.13956E-06,4.05224E-06,3.98896E-06,3.00166E-06,1.48019E-06,3.66255E-06,3.08657E-06,4.20713E-06,2.58183E-06,5.34754E-06,6.09268E-06,3.91482E-06,2.64424E-06,3.47465E-06
d__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Chromulinivoraceae|g__Candidatus_Chromulinivorax|s__Candidatus_Chromulinivorax_destructor,8.87336E-06,5.81643E-06,5.21002E-06,5.12866E-06,1.00055E-05,5.92077E-06,6.5112E-06,6.17315E-06,1.2945E-06,4.79484E-06,9.54918E-06,1.16315E-05,1.11852E-05,5.5529E-06,7.48385E-06
d__Bacteria|p__Candidatus_Saccharibacteria|g__Candidatus_Minimicrobia|s__Candidatus_Minimicrobia_vallesae,8.87336E-06,9.69405E-06,0,0,3.00166E-06,6.34368E-06,7.73204E-06,4.03629E-06,0,0,6.49344E-06,0,0,3.96635E-06,0
d__Bacteria|p__Candidatus_Saccharibacteria|g__Candidatus_Mycosynbacter|s__Candidatus_Mycosynbacter_amalyticus,1.60403E-05,1.9065E-05,1.01306E-05,1.05422E-05,9.75539E-06,1.58592E-05,1.54641E-05,1.4958E-05,1.13269E-05,2.80314E-05,1.26049E-05,1.8278E-05,2.62853E-05,1.05769E-05,1.68387E-05
d__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Saccharimonadales|f__Candidatus_Saccharimonadaceae|g__Candidatus_Saccharimonas|s__Candidatus_Saccharimonas_aalborgensis,1.331E-05,9.69405E-06,1.73667E-06,5.98343E-06,1.50083E-06,7.61242E-06,1.05807E-05,9.02229E-06,4.20713E-06,1.62287E-05,1.03131E-05,7.75432E-06,1.0626E-05,3.70193E-06,4.54377E-06
d__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Nanosynbacterales|f__Candidatus_Nanosynbacteraceae|g__Candidatus_Nanosynbacter|s__Candidatus_Nanosynbacter_featherlites,4.0954E-06,8.40151E-06,2.60501E-06,2.2794E-06,1.75097E-06,4.01767E-06,4.8834E-06,4.27372E-06,2.589E-06,1.03273E-05,1.90984E-06,4.43104E-06,7.82965E-06,2.90866E-06,0
d__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Nanosynbacterales|f__Candidatus_Nanosynbacteraceae|g__Candidatus_Nanosynbacter|s__Candidatus_Nanosynbacter_lyticus,9.89721E-06,1.03403E-05,1.18673E-05,1.11121E-05,7.00387E-06,1.28988E-05,1.05807E-05,1.23463E-05,6.79613E-06,2.54495E-05,1.2223E-05,1.88319E-05,2.06926E-05,8.19713E-06,8.55298E-06
d__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Nanosynbacterales|f__Candidatus_Nanosynbacteraceae|g__Candidatus_Nanosynbacter|s__Candidatus_Nanosynbacter_sp._HMT-352,9.89721E-06,7.10897E-06,4.63113E-06,3.13418E-06,2.00111E-06,7.82388E-06,7.73204E-06,3.324E-06,0,9.95851E-06,3.05574E-06,9.41596E-06,1.51E-05,2.64424E-06,5.07833E-06
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Mesoaciditogales|f__Mesoaciditogaceae|g__Athalassotoga|s__Athalassotoga_saccharophila,4.77796E-06,4.20075E-06,2.89446E-06,1.70955E-06,1.50083E-06,2.32602E-06,4.0695E-06,2.61172E-06,1.94175E-06,3.68834E-06,3.81967E-06,2.21552E-06,6.71113E-06,1.58654E-06,2.94009E-06
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__Kosmotoga|s__Kosmotoga_olearia,3.07155E-06,2.90821E-06,2.60501E-06,1.70955E-06,2.50138E-06,1.48019E-06,0,1.89943E-06,1.61813E-06,1.84417E-06,3.43771E-06,0,3.91482E-06,0,1.87096E-06
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__Kosmotoga|s__Kosmotoga_pacifica,4.77796E-06,2.26194E-06,1.73667E-06,1.70955E-06,1.50083E-06,1.26874E-06,0,2.13686E-06,0,0,1.90984E-06,3.32328E-06,2.7963E-06,1.58654E-06,0
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__Mesotoga|s__Mesotoga_prima,1.36513E-06,2.58508E-06,2.89446E-06,1.70955E-06,2.50138E-06,2.11456E-06,0,1.18714E-06,0,2.213E-06,0,3.87716E-06,0,1.05769E-06,1.06912E-06
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__Mesotoga|s__Mesotoga_infera,7.84951E-06,9.69405E-06,7.52559E-06,9.11761E-06,1.20066E-05,5.70932E-06,6.91815E-06,5.93572E-06,8.41426E-06,8.11434E-06,1.06951E-05,9.41596E-06,1.34223E-05,8.9904E-06,9.08754E-06
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Tepiditoga|s__Tepiditoga_spiralis,3.41283E-06,4.20075E-06,3.1839E-06,2.56433E-06,3.2518E-06,3.17184E-06,3.2556E-06,3.324E-06,1.2945E-06,4.05717E-06,5.34754E-06,6.09268E-06,7.82965E-06,2.64424E-06,1.87096E-06
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Defluviitoga|s__Defluviitoga_tunisiensis,5.11925E-06,4.84702E-06,8.39393E-06,7.40806E-06,6.50359E-06,5.2864E-06,6.5112E-06,4.51115E-06,3.8835E-06,8.11434E-06,9.16722E-06,7.75432E-06,5.59261E-06,6.87501E-06,9.35482E-06
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Oceanotoga|s__Oceanotoga_sp._DSM_15011,5.46053E-06,3.23135E-06,6.65725E-06,2.84925E-06,7.50415E-06,4.86349E-06,8.95289E-06,3.08657E-06,2.589E-06,4.426E-06,6.87541E-06,7.20044E-06,6.71113E-06,4.23078E-06,4.00921E-06
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Petrotoga|s__Petrotoga_mobilis,6.82566E-06,6.13956E-06,3.1839E-06,3.70403E-06,4.25235E-06,4.22912E-06,6.5112E-06,1.18714E-06,1.94175E-06,1.47533E-06,6.11148E-06,3.87716E-06,3.91482E-06,3.96635E-06,3.74193E-06
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Marinitoga|s__Marinitoga_piezophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Marinitoga|s__Marinitoga_sp._1137,0,0,0,0,4.75263E-06,0,0,0,0,0,0,6.64656E-06,0,0,0
