#Classification,HK1-1,HK1-2,HK1-3,HK1-4,HK1-5,HK2-1,HK2-2,HK2-3,HK2-4,HK2-5,HK3-1,HK3-2,HK3-3,HK3-4,HK3-5
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_sp._CA23,6.82566E-06,3.87762E-06,2.60501E-06,5.12866E-06,3.2518E-06,5.49786E-06,6.91815E-06,5.46086E-06,4.85438E-06,5.16367E-06,8.40328E-06,6.09268E-06,7.82965E-06,8.19713E-06,4.27649E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_sp._FDAARGOS_1409,1.02385E-05,6.4627E-06,1.33145E-05,1.99448E-05,1.25069E-05,1.39561E-05,1.54641E-05,1.04469E-05,1.94175E-05,1.62287E-05,1.29869E-05,1.71703E-05,1.73371E-05,1.08414E-05,1.55023E-05
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_sp._CU5,1.02385E-05,6.78583E-06,5.49947E-06,9.40254E-06,8.5047E-06,8.03533E-06,6.5112E-06,9.73458E-06,7.11975E-06,2.58183E-06,5.34754E-06,8.3082E-06,5.59261E-06,1.00481E-05,9.88938E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_sp._FDAARGOS_1415,1.19449E-05,1.45411E-05,1.82351E-05,1.39613E-05,2.42634E-05,1.6705E-05,1.79058E-05,1.75697E-05,1.68285E-05,1.7704E-05,1.06951E-05,1.32931E-05,1.90149E-05,8.9904E-06,1.81751E-05
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_hydrophila,0.000179174,0.000424276,0.000158327,0.000168961,0.000176347,0.000150134,0.000191673,0.000162401,0.000168609,0.000151959,0.000172649,0.000147332,0.00014373,0.000156803,0.000165447
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_veronii,0.000179174,9.8233E-05,0.000151959,0.000144172,0.000154085,0.000136601,0.000144874,0.000130348,0.000133657,0.000156017,0.000152023,0.000130716,0.000139815,0.000133005,0.000165447
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Psychromonadaceae|g__Psychromonas|s__Psychromonas_ingrahamii,7.50823E-06,7.10897E-06,4.34169E-06,2.84925E-06,5.75318E-06,7.61242E-06,4.47645E-06,6.41058E-06,6.4725E-06,8.11434E-06,9.93115E-06,8.86208E-06,8.94817E-06,4.75963E-06,4.54377E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Psychromonadaceae|g__Psychromonas|s__Psychromonas_sp._CNPT3,7.50823E-06,6.13956E-06,3.47335E-06,6.55329E-06,5.00277E-06,4.65204E-06,4.0695E-06,6.88543E-06,4.20713E-06,3.3195E-06,5.34754E-06,6.09268E-06,5.03335E-06,6.61059E-06,5.61289E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Moritellaceae|g__Moritella|s__Moritella_sp._36,0,0,0,6.83821E-06,0,0,0,3.79886E-06,0,0,0,0,0,5.28847E-06,5.88017E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Moritellaceae|g__Moritella|s__Moritella_yayanosii,3.75412E-06,4.84702E-06,4.63113E-06,3.13418E-06,4.50249E-06,2.74893E-06,4.8834E-06,4.986E-06,2.26538E-06,6.27017E-06,4.96558E-06,9.96984E-06,6.15187E-06,3.43751E-06,2.40552E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Moritellaceae|g__Moritella|s__Moritella_marina,3.75412E-06,3.87762E-06,4.05224E-06,2.84925E-06,3.2518E-06,3.3833E-06,7.73204E-06,4.74857E-06,3.23625E-06,3.3195E-06,6.11148E-06,2.21552E-06,3.35556E-06,1.85097E-06,4.27649E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Moritellaceae|g__Moritella|s__Moritella_sp._5,6.48438E-06,1.13097E-05,6.36781E-06,3.70403E-06,9.25512E-06,5.92077E-06,7.73204E-06,3.79886E-06,0,9.22084E-06,7.63935E-06,1.10776E-05,7.82965E-06,7.93271E-06,5.07833E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Moritellaceae|g__Moritella|s__Moritella_sp._24,7.84951E-06,1.09866E-05,7.81504E-06,4.84373E-06,6.00332E-06,6.34368E-06,5.29035E-06,5.69829E-06,8.09063E-06,4.426E-06,4.96558E-06,1.27392E-05,1.00667E-05,6.87501E-06,2.6728E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae|g__Pseudidiomarina|s__Pseudidiomarina_andamanensis,5.11925E-06,3.87762E-06,2.02612E-06,3.41911E-06,5.50304E-06,3.59475E-06,3.2556E-06,2.61172E-06,3.8835E-06,2.95067E-06,5.34754E-06,2.7694E-06,0,6.87501E-06,2.13824E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae|g__Idiomarina|s__Idiomarina_piscisalsi,1.70642E-06,3.23135E-06,0,0,1.75097E-06,2.11456E-06,4.8834E-06,1.662E-06,0,1.84417E-06,1.52787E-06,0,0,0,0
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae|g__Idiomarina|s__Idiomarina_abyssalis,6.1431E-06,4.84702E-06,2.89446E-06,5.69851E-06,3.75207E-06,3.3833E-06,5.29035E-06,2.84914E-06,2.91263E-06,4.05717E-06,5.34754E-06,3.32328E-06,4.47409E-06,2.90866E-06,5.88017E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae|g__Idiomarina|s__Idiomarina_sp._X4,1.36513E-06,1.61567E-06,0,1.99448E-06,3.00166E-06,1.26874E-06,0,9.49715E-07,3.8835E-06,0,1.52787E-06,0,3.91482E-06,2.37981E-06,2.6728E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae|g__Idiomarina|s__Idiomarina_sp.,2.38898E-06,7.4321E-06,3.47335E-06,2.84925E-06,2.75152E-06,7.82388E-06,1.6278E-06,2.84914E-06,8.73788E-06,3.3195E-06,3.43771E-06,6.64656E-06,2.23704E-06,1.85097E-06,1.60368E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae|g__Idiomarina|s__Idiomarina_sp._OT37-5b,4.77796E-06,8.07837E-06,4.34169E-06,6.55329E-06,5.00277E-06,6.13223E-06,2.84865E-06,8.54743E-06,8.73788E-06,8.11434E-06,6.87541E-06,6.64656E-06,4.47409E-06,5.5529E-06,5.88017E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae|g__Idiomarina|s__Idiomarina_loihiensis,1.331E-05,1.00172E-05,7.81504E-06,5.12866E-06,1.05058E-05,1.2053E-05,1.05807E-05,1.13966E-05,1.26214E-05,9.95851E-06,1.03131E-05,7.20044E-06,1.23037E-05,5.02405E-06,9.35482E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Ferrimonadaceae|g__Ferrimonas|s__Ferrimonas_lipolytica,5.46053E-06,1.06635E-05,6.9467E-06,1.02573E-05,1.00055E-05,9.30407E-06,1.01737E-05,9.25972E-06,8.09063E-06,1.03273E-05,8.02131E-06,8.3082E-06,7.82965E-06,8.46156E-06,9.6221E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Ferrimonadaceae|g__Ferrimonas|s__Ferrimonas_balearica,2.79852E-05,2.52045E-05,2.48923E-05,2.47885E-05,2.85158E-05,2.26258E-05,3.17421E-05,2.37429E-05,2.71845E-05,2.47118E-05,3.01754E-05,2.60323E-05,2.46075E-05,2.40626E-05,2.3788E-05
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Ferrimonadaceae|g__Ferrimonas|s__Ferrimonas_sp._YFM,2.2866E-05,2.26194E-05,2.51818E-05,3.10569E-05,2.07615E-05,2.43175E-05,2.72656E-05,2.70669E-05,1.87703E-05,2.95067E-05,2.13902E-05,2.88017E-05,1.73371E-05,2.22116E-05,2.88663E-05
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Ferrimonadaceae|g__Ferrimonas|s__Ferrimonas_sp._SCSIO_43195,2.73027E-05,2.13269E-05,2.6629E-05,2.59282E-05,2.12618E-05,1.71279E-05,1.91266E-05,2.01814E-05,2.23301E-05,2.39742E-05,1.90984E-05,1.99397E-05,1.67778E-05,2.00962E-05,2.8599E-05
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Litorilituus|s__Litorilituus_sediminis,5.46053E-06,5.49329E-06,3.7628E-06,3.98896E-06,9.50525E-06,5.07495E-06,3.2556E-06,2.61172E-06,1.94175E-06,3.3195E-06,4.96558E-06,4.43104E-06,7.82965E-06,4.23078E-06,2.94009E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Cognaticolwellia|s__Cognaticolwellia_beringensis,8.1908E-06,7.75524E-06,7.23615E-06,3.41911E-06,6.25346E-06,3.17184E-06,4.47645E-06,4.986E-06,4.53075E-06,7.7455E-06,8.78525E-06,3.87716E-06,5.59261E-06,2.64424E-06,3.47465E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Thalassotalea|s__Thalassotalea_piscium,4.0954E-06,4.84702E-06,5.21002E-06,7.69299E-06,6.75373E-06,4.65204E-06,6.91815E-06,8.07258E-06,4.20713E-06,5.5325E-06,9.54918E-06,7.75432E-06,1.11852E-05,4.75963E-06,4.27649E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Thalassotalea|s__Thalassotalea_crassostreae,3.75412E-06,5.49329E-06,2.31557E-06,3.41911E-06,3.00166E-06,3.59475E-06,2.84865E-06,1.89943E-06,2.91263E-06,3.68834E-06,3.81967E-06,4.98492E-06,4.47409E-06,2.11539E-06,4.81105E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Thalassotalea|s__Thalassotalea_atypica,4.0954E-06,7.4321E-06,3.7628E-06,3.98896E-06,5.50304E-06,1.01499E-05,8.13899E-06,5.22343E-06,3.8835E-06,5.16367E-06,4.58361E-06,8.86208E-06,6.15187E-06,4.75963E-06,4.27649E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Thalassotalea|s__Thalassotalea_agarivorans,5.46053E-06,8.72464E-06,2.89446E-06,6.26836E-06,4.00221E-06,4.65204E-06,3.2556E-06,4.03629E-06,3.55988E-06,5.5325E-06,4.20164E-06,5.5388E-06,6.71113E-06,5.02405E-06,5.88017E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Thalassotalea|s__Thalassotalea_sediminis,6.82566E-06,7.4321E-06,2.89446E-06,5.41358E-06,5.2529E-06,5.49786E-06,3.2556E-06,4.27372E-06,4.85438E-06,6.27017E-06,4.20164E-06,4.43104E-06,3.91482E-06,9.51925E-06,5.07833E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Thalassotalea|s__Thalassotalea_sp._PTE2,2.0477E-06,7.75524E-06,3.7628E-06,1.99448E-06,3.50194E-06,4.22912E-06,2.4417E-06,4.27372E-06,3.55988E-06,3.68834E-06,6.87541E-06,8.3082E-06,8.38891E-06,4.4952E-06,5.34561E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Thalassotalea|s__Thalassotalea_sp._HSM_43,2.73027E-06,7.4321E-06,4.34169E-06,3.70403E-06,3.50194E-06,2.74893E-06,4.8834E-06,2.84914E-06,3.23625E-06,5.90134E-06,5.34754E-06,2.7694E-06,6.15187E-06,4.4952E-06,2.6728E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Thalassotalea|s__Thalassotalea_sp._LPB0316,4.43668E-06,3.23135E-06,3.1839E-06,2.2794E-06,4.50249E-06,3.59475E-06,5.29035E-06,2.84914E-06,3.55988E-06,4.426E-06,5.34754E-06,6.64656E-06,6.15187E-06,4.4952E-06,2.40552E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Thalassotalea|s__Thalassotalea_sp._PS06,4.43668E-06,3.23135E-06,2.60501E-06,3.41911E-06,5.50304E-06,6.34368E-06,4.47645E-06,3.08657E-06,3.55988E-06,4.05717E-06,3.81967E-06,6.64656E-06,5.03335E-06,6.87501E-06,3.47465E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Thalassomonas|s__Thalassomonas_haliotis,7.84951E-06,1.38948E-05,8.97282E-06,5.98343E-06,1.12562E-05,7.82388E-06,7.3251E-06,1.1634E-05,5.82525E-06,8.85201E-06,1.1459E-05,6.64656E-06,7.27039E-06,8.9904E-06,1.20276E-05
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Thalassomonas|s__Thalassomonas_actiniarum,1.16036E-05,1.55105E-05,1.24462E-05,1.68106E-05,1.40077E-05,1.48019E-05,1.22085E-05,9.02229E-06,1.39159E-05,1.3278E-05,1.06951E-05,1.60625E-05,1.34223E-05,6.87501E-06,1.63041E-05
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Thalassomonas|s__Thalassomonas_viridans,2.08183E-05,1.35717E-05,1.07095E-05,9.97239E-06,2.15119E-05,1.48019E-05,1.09876E-05,1.30586E-05,1.45631E-05,1.5491E-05,1.52787E-05,1.55086E-05,1.56593E-05,1.48077E-05,1.30967E-05
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Colwellia|s__Colwellia_psychrerythraea,3.75412E-06,3.55448E-06,3.1839E-06,2.2794E-06,5.50304E-06,3.59475E-06,3.66255E-06,5.22343E-06,3.8835E-06,2.95067E-06,6.87541E-06,4.43104E-06,0,4.23078E-06,4.54377E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Colwellia|s__Colwellia_sp._Arc7-D,4.0954E-06,6.78583E-06,3.47335E-06,2.56433E-06,6.25346E-06,4.86349E-06,7.3251E-06,4.03629E-06,5.178E-06,5.5325E-06,4.58361E-06,7.20044E-06,8.38891E-06,5.02405E-06,2.94009E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Colwellia|s__Colwellia_sp._PAMC_21821,6.1431E-06,2.90821E-06,5.21002E-06,5.98343E-06,5.50304E-06,3.80621E-06,4.47645E-06,7.59772E-06,2.91263E-06,7.37667E-06,6.49344E-06,5.5388E-06,7.27039E-06,2.90866E-06,7.75113E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Colwellia|s__Colwellia_sp._M166,7.16695E-06,8.72464E-06,6.65725E-06,6.26836E-06,5.75318E-06,8.45825E-06,9.76679E-06,5.93572E-06,5.50163E-06,5.90134E-06,8.02131E-06,8.3082E-06,8.94817E-06,5.02405E-06,4.27649E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Colwellia|s__Colwellia_sp._MT41,6.48438E-06,7.75524E-06,3.1839E-06,5.69851E-06,7.75429E-06,8.88116E-06,4.0695E-06,7.12286E-06,6.14888E-06,2.95067E-06,5.34754E-06,4.98492E-06,5.59261E-06,9.25483E-06,7.75113E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Colwellia|s__Colwellia_sp._Arc7-635,6.82566E-06,5.81643E-06,4.63113E-06,3.41911E-06,4.75263E-06,5.92077E-06,8.13899E-06,4.986E-06,4.53075E-06,5.16367E-06,4.58361E-06,4.98492E-06,7.27039E-06,4.75963E-06,3.47465E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Colwellia|s__Colwellia_sp._20A7,6.1431E-06,1.16329E-05,3.1839E-06,3.98896E-06,4.00221E-06,3.17184E-06,4.0695E-06,5.93572E-06,6.79613E-06,5.16367E-06,4.20164E-06,5.5388E-06,8.94817E-06,5.5529E-06,3.20737E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae|g__Colwellia|s__Colwellia_sp._PAMC_20917,1.05798E-05,1.32485E-05,7.23615E-06,7.97791E-06,9.25512E-06,7.40097E-06,8.54594E-06,3.56143E-06,3.8835E-06,6.27017E-06,7.25738E-06,1.16315E-05,1.34223E-05,7.13944E-06,5.88017E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Gayadomonas|s__Gayadomonas_joobiniege,0,0,0,0,0,1.90311E-06,2.03475E-06,1.18714E-06,1.2945E-06,1.47533E-06,0,0,0,2.64424E-06,0
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Glaciecola|s__Glaciecola_nitratireducens,4.0954E-06,1.93881E-06,3.1839E-06,5.12866E-06,3.00166E-06,3.80621E-06,4.0695E-06,3.79886E-06,1.2945E-06,4.426E-06,3.81967E-06,3.87716E-06,3.91482E-06,3.17308E-06,2.40552E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Paraneptunicella|s__Paraneptunicella_aestuarii,4.77796E-06,5.49329E-06,5.21002E-06,5.98343E-06,6.00332E-06,7.40097E-06,8.54594E-06,7.12286E-06,5.50163E-06,7.37667E-06,8.02131E-06,1.16315E-05,1.0626E-05,8.9904E-06,5.07833E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Saliniradius|s__Saliniradius_amylolyticus,5.46053E-06,6.78583E-06,6.36781E-06,5.12866E-06,4.75263E-06,4.65204E-06,3.2556E-06,8.54743E-06,5.50163E-06,6.639E-06,5.72951E-06,7.20044E-06,7.27039E-06,5.81732E-06,1.04239E-05
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Aliiglaciecola|s__Aliiglaciecola_sp._LCG003,6.1431E-06,9.37091E-06,4.34169E-06,4.55881E-06,7.00387E-06,6.13223E-06,5.6973E-06,5.69829E-06,7.44338E-06,8.11434E-06,7.25738E-06,8.3082E-06,5.59261E-06,5.5529E-06,2.40552E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Saccharobesus|s__Saccharobesus_litoralis,1.12623E-05,1.1956E-05,8.39393E-06,9.40254E-06,6.00332E-06,6.13223E-06,1.01737E-05,8.07258E-06,5.50163E-06,9.58967E-06,1.1841E-05,8.86208E-06,6.71113E-06,6.34617E-06,7.21657E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Hydrocarboniclastica|s__Hydrocarboniclastica_marina,1.29688E-05,1.09866E-05,1.30251E-05,1.42463E-05,1.35075E-05,1.33217E-05,1.34293E-05,1.61452E-05,1.84466E-05,1.69663E-05,1.1459E-05,1.21854E-05,1.56593E-05,1.18991E-05,1.25622E-05
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Catenovulum|s__Catenovulum_sp._TS8,5.80181E-06,1.03403E-05,5.21002E-06,6.55329E-06,8.25456E-06,5.92077E-06,5.29035E-06,4.03629E-06,4.85438E-06,5.16367E-06,9.54918E-06,3.32328E-06,6.15187E-06,8.46156E-06,6.41473E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Catenovulum|s__Catenovulum_sediminis,8.1908E-06,8.40151E-06,8.39393E-06,6.55329E-06,6.75373E-06,5.92077E-06,4.47645E-06,5.22343E-06,3.23625E-06,4.05717E-06,1.26049E-05,9.96984E-06,7.82965E-06,5.81732E-06,4.81105E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Lacimicrobium|s__Lacimicrobium_alkaliphilum,1.5699E-05,1.16329E-05,8.39393E-06,1.48161E-05,1.02557E-05,8.24679E-06,1.13946E-05,9.25972E-06,9.70876E-06,1.25403E-05,1.1841E-05,8.3082E-06,1.11852E-05,8.46156E-06,1.01567E-05
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Alkalimarinus|s__Alkalimarinus_alittae,4.77796E-06,2.90821E-06,6.07836E-06,4.55881E-06,3.2518E-06,6.55514E-06,5.6973E-06,4.03629E-06,4.53075E-06,3.68834E-06,1.52787E-06,2.7694E-06,2.7963E-06,4.23078E-06,3.47465E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Alkalimarinus|s__Alkalimarinus_sediminis,5.80181E-06,6.13956E-06,2.31557E-06,5.69851E-06,5.2529E-06,5.2864E-06,5.29035E-06,3.324E-06,3.8835E-06,4.79484E-06,4.20164E-06,6.09268E-06,2.23704E-06,3.96635E-06,3.47465E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Alkalimarinus|s__Alkalimarinus_coralli,5.80181E-06,8.72464E-06,4.92058E-06,6.55329E-06,6.50359E-06,7.61242E-06,5.6973E-06,4.03629E-06,7.11975E-06,4.05717E-06,7.63935E-06,4.98492E-06,8.94817E-06,5.5529E-06,6.14745E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Agarivorans|s__Agarivorans_sp._B2Z047,0,5.17016E-06,2.60501E-06,3.41911E-06,3.2518E-06,3.80621E-06,3.66255E-06,1.662E-06,0,2.95067E-06,0,0,0,0,2.40552E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Agarivorans|s__Agarivorans_albus,6.82566E-06,3.87762E-06,0,0,1.75097E-06,4.65204E-06,0,3.56143E-06,0,4.05717E-06,4.96558E-06,4.43104E-06,5.03335E-06,5.02405E-06,0
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Agarivorans|s__Agarivorans_aestuarii,6.48438E-06,4.84702E-06,0,4.84373E-06,2.75152E-06,4.01767E-06,4.0695E-06,3.79886E-06,4.53075E-06,3.3195E-06,4.58361E-06,3.32328E-06,2.23704E-06,4.23078E-06,4.54377E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Agarivorans|s__Agarivorans_sp._TSD2052,5.11925E-06,6.4627E-06,2.89446E-06,5.98343E-06,4.50249E-06,2.96039E-06,4.8834E-06,3.324E-06,1.61813E-06,3.68834E-06,4.96558E-06,6.09268E-06,3.91482E-06,4.23078E-06,3.74193E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Agarivorans|s__Agarivorans_gilvus,5.80181E-06,5.49329E-06,3.1839E-06,4.55881E-06,4.50249E-06,5.07495E-06,3.66255E-06,2.61172E-06,3.23625E-06,2.58183E-06,3.81967E-06,5.5388E-06,5.59261E-06,1.58654E-06,2.6728E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Paraglaciecola|s__Paraglaciecola_mesophila,6.1431E-06,5.81643E-06,3.7628E-06,3.13418E-06,4.50249E-06,4.01767E-06,4.8834E-06,4.986E-06,4.85438E-06,7.00784E-06,6.87541E-06,9.96984E-06,0,6.87501E-06,1.87096E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Paraglaciecola|s__Paraglaciecola_psychrophila,7.16695E-06,8.40151E-06,4.05224E-06,5.12866E-06,5.00277E-06,4.86349E-06,5.6973E-06,5.69829E-06,2.91263E-06,5.16367E-06,3.81967E-06,7.75432E-06,5.59261E-06,5.28847E-06,4.27649E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Paraglaciecola|s__Paraglaciecola_sp._T6c,3.41283E-06,4.52389E-06,3.47335E-06,3.98896E-06,4.00221E-06,3.80621E-06,2.03475E-06,2.61172E-06,5.50163E-06,3.68834E-06,3.43771E-06,0,6.15187E-06,2.37981E-06,2.13824E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Paraglaciecola|s__Paraglaciecola_sp._L1A13,7.16695E-06,6.13956E-06,4.63113E-06,3.70403E-06,6.75373E-06,6.7666E-06,5.29035E-06,5.46086E-06,5.50163E-06,5.90134E-06,3.81967E-06,3.87716E-06,4.47409E-06,5.28847E-06,4.00921E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Paraglaciecola|s__Paraglaciecola_sp._L3A3,7.50823E-06,8.40151E-06,6.07836E-06,6.55329E-06,5.2529E-06,4.01767E-06,4.0695E-06,6.41058E-06,4.53075E-06,5.90134E-06,8.40328E-06,7.20044E-06,5.59261E-06,6.61059E-06,5.88017E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Salinimonas|s__Salinimonas_iocasae,4.77796E-06,6.78583E-06,2.60501E-06,5.98343E-06,8.25456E-06,4.01767E-06,6.91815E-06,3.56143E-06,5.178E-06,6.27017E-06,5.34754E-06,2.7694E-06,6.71113E-06,3.96635E-06,3.74193E-06
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Salinimonas|s__Salinimonas_sediminis,5.11925E-06,3.55448E-06,3.47335E-06,2.2794E-06,4.75263E-06,5.92077E-06,4.0695E-06,2.13686E-06,4.85438E-06,4.79484E-06,1.90984E-06,6.64656E-06,0,1.32212E-06,3.20737E-06
