Classification,Water,WT,dagr,Phylum,color
Fusobacterium_gastrosuis,3.92403E-06,2.36552E-06,3.18136E-06,nosig,#EAEAEA
Fusobacterium_varium,8.00125E-06,5.30666E-06,8.8524E-06,nosig,#EAEAEA
Silvanigrella_aquatica,5.43241E-06,5.69134E-06,6.04293E-06,nosig,#EAEAEA
Pigmentibacter_sp__JX0631,7.42156E-06,7.07545E-06,8.65707E-06,nosig,#EAEAEA
Halobacteriovorax_sp__BALOs_7,6.1262E-06,5.56183E-06,6.46478E-06,nosig,#EAEAEA
Halobacteriovorax_marinus,1.02526E-05,8.7685E-06,1.11665E-05,nosig,#EAEAEA
Bacteriovorax_stolpii,0.000193559,0.000248638,0.000221371,nosig,#EAEAEA
Pseudobdellovibrio_exovorus,8.77561E-06,7.03977E-06,7.91264E-06,nosig,#EAEAEA
Micavibrio_aeruginosavorus,2.49551E-05,2.77134E-05,2.45477E-05,nosig,#EAEAEA
Bdellovibrio_reynosensis,1.57776E-05,1.36966E-05,1.50667E-05,nosig,#EAEAEA
Bdellovibrio_bacteriovorus,4.89395E-05,4.32101E-05,4.77739E-05,nosig,#EAEAEA
Bdellovibrio_sp__ZAP7,9.48347E-06,8.97656E-06,1.11346E-05,nosig,#EAEAEA
Bdellovibrio_sp__SKB1291214,9.83245E-06,6.74114E-06,9.74739E-06,nosig,#EAEAEA
Bdellovibrio_sp__KM01,1.15859E-05,9.6419E-06,1.06666E-05,nosig,#EAEAEA
Bdellovibrio_sp__NC01,1.84866E-05,1.75711E-05,1.81789E-05,nosig,#EAEAEA
Thermospira_aquatica,3.17829E-06,1.8994E-06,2.74182E-06,nosig,#EAEAEA
Brachyspira_hyodysenteriae,7.20347E-06,5.78973E-06,6.31309E-06,nosig,#EAEAEA
Brachyspira_pilosicoli,1.03193E-05,8.40108E-06,1.18228E-05,nosig,#EAEAEA
Turneriella_parva,1.05171E-05,9.5543E-06,1.02218E-05,nosig,#EAEAEA
Leptospira_mayottensis,5.22326E-06,5.36555E-06,7.21102E-06,nosig,#EAEAEA
Leptospira_borgpetersenii,5.91925E-06,5.6908E-06,7.26638E-06,nosig,#EAEAEA
Leptospira_kirschneri,7.49745E-06,6.47207E-06,1.07298E-05,nosig,#EAEAEA
Leptospira_kobayashii,7.97244E-06,6.71897E-06,9.28228E-06,nosig,#EAEAEA
Leptospira_interrogans,1.61135E-05,1.25659E-05,0.000017199,nosig,#EAEAEA
Leptospira_weilii,6.3162E-06,5.88768E-06,7.16567E-06,nosig,#EAEAEA
Leptospira_kmetyi,6.65162E-06,8.09014E-06,1.05847E-05,nosig,#EAEAEA
Leptospira_noguchii,1.13818E-05,9.30962E-06,0.000013969,nosig,#EAEAEA
Leptospira_sp__severe_002,5.80091E-05,0.000102814,6.71618E-05,nosig,#EAEAEA
Parasphaerochaeta_coccoides,3.16063E-06,2.03374E-06,2.0526E-06,nosig,#EAEAEA
Sphaerochaeta_associata,4.1966E-06,3.82929E-06,4.38214E-06,nosig,#EAEAEA
Sphaerochaeta_globosa,5.9475E-06,4.44008E-06,4.99878E-06,nosig,#EAEAEA
Gracilinema_caldarium,3.43108E-06,3.95337E-06,3.88543E-06,nosig,#EAEAEA
Leadbettera_azotonutricia,4.66273E-06,4.26657E-06,5.38135E-06,nosig,#EAEAEA
Breznakiella_homolactica,7.42574E-06,6.90702E-06,5.97055E-06,nosig,#EAEAEA
Sediminispirochaeta_smaragdinae,3.7743E-06,3.12364E-06,3.10038E-06,nosig,#EAEAEA
Entomospira_entomophilus,0,6.38786E-07,0,nosig,#EAEAEA
Entomospira_culicis,1.44428E-06,1.08488E-06,1.3326E-06,nosig,#EAEAEA
Entomospira_nematocera,3.53817E-06,2.42609E-06,2.17122E-06,nosig,#EAEAEA
Salinispira_pacifica,4.50494E-06,4.57107E-06,3.77769E-06,nosig,#EAEAEA
Oceanispirochaeta_crateris,4.17599E-06,3.35366E-06,3.04077E-06,nosig,#EAEAEA
Spirochaeta_africana,8.61107E-06,7.47568E-06,7.39444E-06,nosig,#EAEAEA
Spirochaeta_thermophila,1.6143E-05,1.48025E-05,1.71465E-05,nosig,#EAEAEA
Brucepastera_parasyntrophica,1.8731E-06,1.72488E-06,1.64314E-06,nosig,#EAEAEA
Treponema_pallidum,0,3.73389E-05,5.27114E-06,nosig,#EAEAEA
Treponema_sp__OMZ_787,1.02573E-06,0,1.648E-06,nosig,#EAEAEA
Treponema_putidum,1.7227E-06,2.05816E-06,3.18035E-06,nosig,#EAEAEA
Treponema_medium,1.11207E-06,1.27476E-06,4.5836E-07,nosig,#EAEAEA
Treponema_phagedenis,2.71151E-06,2.63451E-06,2.45275E-06,nosig,#EAEAEA
Treponema_succinifaciens,5.3465E-06,2.78117E-06,3.45663E-06,nosig,#EAEAEA
Treponema_pedis,4.57706E-06,3.82027E-06,5.04452E-06,nosig,#EAEAEA
Treponema_vincentii,6.41343E-06,3.65966E-06,5.78216E-06,nosig,#EAEAEA
Treponema_ruminis,4.89912E-06,4.66931E-06,4.97434E-06,nosig,#EAEAEA
Treponema_primitia,5.4044E-06,5.41155E-06,5.52231E-06,nosig,#EAEAEA
Treponema_socranskii,4.69063E-06,4.10317E-06,3.64702E-06,nosig,#EAEAEA
Treponema_denticola,2.2751E-05,1.3612E-05,1.56375E-05,nosig,#EAEAEA
Treponema_brennaborense,1.31476E-05,1.08025E-05,9.69806E-06,nosig,#EAEAEA
Treponema_sp__OMZ_788,2.11596E-06,1.61452E-06,2.07336E-06,nosig,#EAEAEA
Borreliella_bavariensis,0,0,1.5582E-06,nosig,#EAEAEA
Borreliella_lusitaniae,0,4.43691E-07,5.81732E-07,nosig,#EAEAEA
Borreliella_kurtenbachii,3.00166E-07,2.37428E-07,6.56928E-07,nosig,#EAEAEA
Borreliella_tanukii,6.4627E-07,1.29755E-06,1.76072E-06,nosig,#EAEAEA
Borreliella_turdi,2.07025E-06,1.92821E-06,2.59103E-06,nosig,#EAEAEA
Borreliella_afzelii,1.71849E-06,7.27822E-07,6.54642E-07,nosig,#EAEAEA
Candidatus_Borreliella_tachyglossi,1.99084E-06,8.23222E-07,1.60164E-06,nosig,#EAEAEA
Borreliella_mayonii,1.51023E-06,8.20285E-07,1.68618E-06,nosig,#EAEAEA
Borreliella_japonica,1.44394E-06,2.37428E-07,1.09526E-06,nosig,#EAEAEA
Borreliella_yangtzensis,1.62562E-06,5.62988E-07,1.75691E-06,nosig,#EAEAEA
Borreliella_burgdorferi,2.65806E-06,1.61543E-06,3.41836E-06,nosig,#EAEAEA
Borrelia_parkeri,0,5.69828E-07,3.74192E-07,nosig,#EAEAEA
Borrelia_sp__HM,5.39584E-07,4.48884E-07,2.64424E-07,nosig,#EAEAEA
Borrelia_puertoricensis,2.89933E-06,8.4509E-07,2.3858E-06,nosig,#EAEAEA
Borrelia_turcica,5.99792E-07,1.89943E-07,8.29376E-07,nosig,#EAEAEA
Borrelia_anserina,1.23314E-06,7.27942E-07,7.14688E-07,nosig,#EAEAEA
Borrelia_coriaceae,2.94455E-06,2.10332E-06,2.42133E-06,nosig,#EAEAEA
Borrelia_crocidurae,6.12417E-06,3.42488E-06,6.94466E-06,nosig,#EAEAEA
Borrelia_miyamotoi,4.56647E-06,3.52681E-06,5.80387E-06,nosig,#EAEAEA
Hippea_maritima,1.57652E-06,1.24881E-06,2.26892E-06,nosig,#EAEAEA
Caminibacter_mediatlanticus,4.40601E-06,2.46963E-06,4.99683E-06,nosig,#EAEAEA
Nautilia_profundicola,3.20474E-06,2.13074E-06,3.09546E-06,nosig,#EAEAEA
Nitratiruptor_tergarcus,1.58638E-06,2.30597E-06,1.51595E-06,nosig,#EAEAEA
